홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(25.40, -13.04, 6.51)
(26.13, -13.94, 3.97)
(26.85, -14.84, 1.34)
(27.58, -15.74, -1.39)

3. 속도 비율 x 방향 0.04, y 방향 0.93, z 방향 0.03 최종 속력
149km/h
(0.00, 18.44, 33.55)
(0.75, 17.54, 34.47)
(1.49, 16.64, 35.29)
(2.24, 15.74, 36.01)
(2.98, 14.84, 36.63)
(3.73, 13.94, 37.15)
(4.48, 13.04, 37.58)
(5.22, 12.14, 37.91)
(5.97, 11.24, 38.14)
(6.72, 10.34, 38.27)
(7.46, 9.44, 38.31)
(8.21, 8.54, 38.25)
(8.95, 7.64, 38.08)
(9.70, 6.74, 37.82)
(10.45, 5.84, 37.47)
(11.19, 4.93, 37.01)
(11.94, 4.03, 36.46)
(12.69, 3.13, 35.81)
(13.43, 2.23, 35.06)
(14.18, 1.33, 34.21)
(14.92, 0.43, 33.27)
(15.67, -0.47, 32.22)
(16.42, -1.37, 31.08)
(17.16, -2.27, 29.84)
(17.91, -3.17, 28.51)
(18.66, -4.07, 27.07)
(19.40, -4.97, 25.54)
(20.15, -5.87, 23.91)
(20.89, -6.77, 22.18)
(21.64, -7.67, 20.35)
(22.39, -8.57, 18.43)
(23.13, -9.47, 16.40)
(23.88, -10.37, 14.28)
(24.63, -11.27, 12.06)
(25.37, -12.17, 9.74)
(26.12, -13.07, 7.33)
(26.86, -13.97, 4.82)
(27.61, -14.87, 2.20)
(28.36, -15.77, -0.50)

148km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.47)
(1.49, 16.64, 35.28)
(2.23, 15.74, 36.00)
(2.98, 14.84, 36.63)
(3.72, 13.94, 37.15)
(4.47, 13.04, 37.58)
(5.21, 12.14, 37.91)
(5.96, 11.24, 38.14)
(6.70, 10.34, 38.27)
(7.45, 9.44, 38.30)
(8.19, 8.54, 38.24)
(8.94, 7.64, 38.08)
(9.68, 6.73, 37.82)
(10.43, 5.83, 37.46)
(11.17, 4.93, 37.00)
(11.92, 4.03, 36.45)
(12.66, 3.13, 35.80)
(13.41, 2.23, 35.05)
(14.15, 1.33, 34.20)
(14.90, 0.43, 33.26)
(15.64, -0.47, 32.21)
(16.39, -1.37, 31.07)
(17.13, -2.27, 29.83)
(17.88, -3.17, 28.49)
(18.62, -4.07, 27.06)
(19.37, -4.97, 25.52)
(20.11, -5.87, 23.89)
(20.86, -6.77, 22.16)
(21.60, -7.67, 20.33)
(22.35, -8.57, 18.41)
(23.09, -9.47, 16.38)
(23.84, -10.37, 14.26)
(24.58, -11.27, 12.04)
(25.33, -12.17, 9.73)
(26.07, -13.07, 7.31)
(26.82, -13.97, 4.80)
(27.56, -14.88, 2.18)
(28.31, -15.78, -0.53)

147km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.47)
(1.49, 16.64, 35.28)
(2.23, 15.74, 36.00)
(2.97, 14.84, 36.62)
(3.72, 13.94, 37.15)
(4.46, 13.04, 37.57)
(5.21, 12.14, 37.90)
(5.95, 11.24, 38.13)
(6.69, 10.34, 38.26)
(7.44, 9.44, 38.30)
(8.18, 8.53, 38.23)
(8.92, 7.63, 38.07)
(9.67, 6.73, 37.81)
(10.41, 5.83, 37.45)
(11.15, 4.93, 37.00)
(11.90, 4.03, 36.44)
(12.64, 3.13, 35.79)
(13.39, 2.23, 35.04)
(14.13, 1.33, 34.19)
(14.87, 0.43, 33.24)
(15.62, -0.47, 32.20)
(16.36, -1.37, 31.06)
(17.10, -2.27, 29.82)
(17.85, -3.17, 28.48)
(18.59, -4.07, 27.04)
(19.34, -4.97, 25.51)
(20.08, -5.87, 23.88)
(20.82, -6.77, 22.15)
(21.57, -7.67, 20.32)
(22.31, -8.57, 18.39)
(23.05, -9.47, 16.37)
(23.80, -10.38, 14.24)
(24.54, -11.28, 12.02)
(25.28, -12.18, 9.71)
(26.03, -13.08, 7.29)
(26.77, -13.98, 4.78)
(27.52, -14.88, 2.16)
(28.26, -15.78, -0.55)

146km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.47)
(1.48, 16.64, 35.28)
(2.23, 15.74, 36.00)
(2.97, 14.84, 36.62)
(3.71, 13.94, 37.15)
(4.45, 13.04, 37.57)
(5.20, 12.14, 37.90)
(5.94, 11.24, 38.13)
(6.68, 10.34, 38.26)
(7.42, 9.43, 38.29)
(8.17, 8.53, 38.23)
(8.91, 7.63, 38.06)
(9.65, 6.73, 37.80)
(10.39, 5.83, 37.44)
(11.14, 4.93, 36.99)
(11.88, 4.03, 36.43)
(12.62, 3.13, 35.78)
(13.36, 2.23, 35.03)
(14.11, 1.33, 34.18)
(14.85, 0.43, 33.23)
(15.59, -0.47, 32.19)
(16.33, -1.37, 31.05)
(17.07, -2.27, 29.80)
(17.82, -3.17, 28.47)
(18.56, -4.07, 27.03)
(19.30, -4.97, 25.49)
(20.04, -5.87, 23.86)
(20.79, -6.78, 22.13)
(21.53, -7.68, 20.30)
(22.27, -8.58, 18.37)
(23.01, -9.48, 16.35)
(23.76, -10.38, 14.23)
(24.50, -11.28, 12.01)
(25.24, -12.18, 9.69)
(25.98, -13.08, 7.27)
(26.73, -13.98, 4.75)
(27.47, -14.88, 2.14)
(28.21, -15.78, -0.57)

145km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.28)
(2.22, 15.74, 36.00)
(2.96, 14.84, 36.62)
(3.71, 13.94, 37.14)
(4.45, 13.04, 37.57)
(5.19, 12.14, 37.89)
(5.93, 11.24, 38.12)
(6.67, 10.33, 38.25)
(7.41, 9.43, 38.29)
(8.15, 8.53, 38.22)
(8.89, 7.63, 38.06)
(9.63, 6.73, 37.80)
(10.37, 5.83, 37.44)
(11.12, 4.93, 36.98)
(11.86, 4.03, 36.42)
(12.60, 3.13, 35.77)
(13.34, 2.23, 35.02)
(14.08, 1.33, 34.17)
(14.82, 0.43, 33.22)
(15.56, -0.47, 32.18)
(16.30, -1.37, 31.03)
(17.04, -2.27, 29.79)
(17.79, -3.17, 28.45)
(18.53, -4.08, 27.01)
(19.27, -4.98, 25.48)
(20.01, -5.88, 23.85)
(20.75, -6.78, 22.11)
(21.49, -7.68, 20.28)
(22.23, -8.58, 18.36)
(22.97, -9.48, 16.33)
(23.71, -10.38, 14.21)
(24.46, -11.28, 11.99)
(25.20, -12.18, 9.67)
(25.94, -13.08, 7.25)
(26.68, -13.98, 4.73)
(27.42, -14.88, 2.12)
(28.16, -15.78, -0.59)

144km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.28)
(2.22, 15.74, 36.00)
(2.96, 14.84, 36.62)
(3.70, 13.94, 37.14)
(4.44, 13.04, 37.56)
(5.18, 12.14, 37.89)
(5.92, 11.23, 38.12)
(6.66, 10.33, 38.25)
(7.40, 9.43, 38.28)
(8.14, 8.53, 38.21)
(8.88, 7.63, 38.05)
(9.62, 6.73, 37.79)
(10.36, 5.83, 37.43)
(11.10, 4.93, 36.97)
(11.84, 4.03, 36.41)
(12.58, 3.13, 35.76)
(13.32, 2.23, 35.01)
(14.06, 1.33, 34.16)
(14.79, 0.43, 33.21)
(15.53, -0.47, 32.16)
(16.27, -1.38, 31.02)
(17.01, -2.28, 29.78)
(17.75, -3.18, 28.44)
(18.49, -4.08, 27.00)
(19.23, -4.98, 25.46)
(19.97, -5.88, 23.83)
(20.71, -6.78, 22.10)
(21.45, -7.68, 20.27)
(22.19, -8.58, 18.34)
(22.93, -9.48, 16.31)
(23.67, -10.38, 14.19)
(24.41, -11.28, 11.97)
(25.15, -12.18, 9.65)
(25.89, -13.08, 7.23)
(26.63, -13.99, 4.71)
(27.37, -14.89, 2.10)
(28.11, -15.79, -0.61)

143km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.28)
(2.22, 15.74, 36.00)
(2.95, 14.84, 36.62)
(3.69, 13.94, 37.14)
(4.43, 13.04, 37.56)
(5.17, 12.13, 37.89)
(5.91, 11.23, 38.11)
(6.65, 10.33, 38.24)
(7.38, 9.43, 38.27)
(8.12, 8.53, 38.21)
(8.86, 7.63, 38.04)
(9.60, 6.73, 37.78)
(10.34, 5.83, 37.42)
(11.08, 4.93, 36.96)
(11.81, 4.03, 36.40)
(12.55, 3.13, 35.75)
(13.29, 2.23, 35.00)
(14.03, 1.33, 34.15)
(14.77, 0.42, 33.20)
(15.51, -0.48, 32.15)
(16.25, -1.38, 31.01)
(16.98, -2.28, 29.76)
(17.72, -3.18, 28.42)
(18.46, -4.08, 26.98)
(19.20, -4.98, 25.45)
(19.94, -5.88, 23.81)
(20.68, -6.78, 22.08)
(21.41, -7.68, 20.25)
(22.15, -8.58, 18.32)
(22.89, -9.48, 16.30)
(23.63, -10.38, 14.17)
(24.37, -11.29, 11.95)
(25.11, -12.19, 9.63)
(25.84, -13.09, 7.21)
(26.58, -13.99, 4.69)
(27.32, -14.89, 2.08)
(28.06, -15.79, -0.63)

142km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.47, 16.64, 35.28)
(2.21, 15.74, 35.99)
(2.95, 14.84, 36.61)
(3.69, 13.94, 37.13)
(4.42, 13.03, 37.56)
(5.16, 12.13, 37.88)
(5.90, 11.23, 38.11)
(6.63, 10.33, 38.24)
(7.37, 9.43, 38.27)
(8.11, 8.53, 38.20)
(8.85, 7.63, 38.04)
(9.58, 6.73, 37.77)
(10.32, 5.83, 37.41)
(11.06, 4.93, 36.95)
(11.79, 4.03, 36.40)
(12.53, 3.13, 35.74)
(13.27, 2.22, 34.99)
(14.00, 1.32, 34.14)
(14.74, 0.42, 33.19)
(15.48, -0.48, 32.14)
(16.22, -1.38, 30.99)
(16.95, -2.28, 29.75)
(17.69, -3.18, 28.41)
(18.43, -4.08, 26.97)
(19.16, -4.98, 25.43)
(19.90, -5.88, 23.80)
(20.64, -6.78, 22.06)
(21.38, -7.68, 20.23)
(22.11, -8.59, 18.30)
(22.85, -9.49, 16.28)
(23.59, -10.39, 14.15)
(24.32, -11.29, 11.93)
(25.06, -12.19, 9.61)
(25.80, -13.09, 7.19)
(26.54, -13.99, 4.67)
(27.27, -14.89, 2.06)
(28.01, -15.79, -0.66)

141km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.47, 16.64, 35.28)
(2.21, 15.74, 35.99)
(2.94, 14.84, 36.61)
(3.68, 13.94, 37.13)
(4.41, 13.03, 37.55)
(5.15, 12.13, 37.88)
(5.89, 11.23, 38.10)
(6.62, 10.33, 38.23)
(7.36, 9.43, 38.26)
(8.09, 8.53, 38.19)
(8.83, 7.63, 38.03)
(9.56, 6.73, 37.76)
(10.30, 5.83, 37.40)
(11.04, 4.93, 36.94)
(11.77, 4.03, 36.39)
(12.51, 3.12, 35.73)
(13.24, 2.22, 34.98)
(13.98, 1.32, 34.12)
(14.71, 0.42, 33.17)
(15.45, -0.48, 32.13)
(16.19, -1.38, 30.98)
(16.92, -2.28, 29.74)
(17.66, -3.18, 28.40)
(18.39, -4.08, 26.96)
(19.13, -4.98, 25.42)
(19.86, -5.88, 23.78)
(20.60, -6.79, 22.05)
(21.34, -7.69, 20.22)
(22.07, -8.59, 18.29)
(22.81, -9.49, 16.26)
(23.54, -10.39, 14.13)
(24.28, -11.29, 11.91)
(25.02, -12.19, 9.59)
(25.75, -13.09, 7.17)
(26.49, -13.99, 4.65)
(27.22, -14.89, 2.03)
(27.96, -15.79, -0.68)

140km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.47, 16.64, 35.28)
(2.20, 15.74, 35.99)
(2.94, 14.84, 36.61)
(3.67, 13.94, 37.13)
(4.41, 13.03, 37.55)
(5.14, 12.13, 37.87)
(5.88, 11.23, 38.10)
(6.61, 10.33, 38.23)
(7.34, 9.43, 38.26)
(8.08, 8.53, 38.19)
(8.81, 7.63, 38.02)
(9.55, 6.73, 37.76)
(10.28, 5.83, 37.39)
(11.02, 4.93, 36.93)
(11.75, 4.02, 36.38)
(12.48, 3.12, 35.72)
(13.22, 2.22, 34.97)
(13.95, 1.32, 34.11)
(14.69, 0.42, 33.16)
(15.42, -0.48, 32.11)
(16.16, -1.38, 30.97)
(16.89, -2.28, 29.72)
(17.63, -3.18, 28.38)
(18.36, -4.08, 26.94)
(19.09, -4.99, 25.40)
(19.83, -5.89, 23.77)
(20.56, -6.79, 22.03)
(21.30, -7.69, 20.20)
(22.03, -8.59, 18.27)
(22.77, -9.49, 16.24)
(23.50, -10.39, 14.11)
(24.23, -11.29, 11.89)
(24.97, -12.19, 9.57)
(25.70, -13.09, 7.15)
(26.44, -14.00, 4.63)
(27.17, -14.90, 2.01)
(27.91, -15.80, -0.70)

4. 속도 비율 x 방향 0.03, y 방향 0.93, z 방향 0.04 최종 속력
154km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.48, 16.63, 35.32)
(2.22, 15.73, 36.05)
(2.96, 14.83, 36.69)
(3.70, 13.92, 37.23)
(4.44, 13.02, 37.67)
(5.18, 12.11, 38.02)
(5.92, 11.21, 38.27)
(6.66, 10.31, 38.41)
(7.40, 9.40, 38.46)
(8.14, 8.50, 38.42)
(8.88, 7.60, 38.27)
(9.62, 6.69, 38.03)
(10.36, 5.79, 37.69)
(11.10, 4.88, 37.25)
(11.84, 3.98, 36.71)
(12.58, 3.08, 36.07)
(13.32, 2.17, 35.34)
(14.06, 1.27, 34.51)
(14.80, 0.37, 33.58)
(15.54, -0.54, 32.55)
(16.28, -1.44, 31.42)
(17.02, -2.35, 30.20)
(17.76, -3.25, 28.88)
(18.50, -4.15, 27.46)
(19.24, -5.06, 25.94)
(19.98, -5.96, 24.33)
(20.72, -6.86, 22.61)
(21.46, -7.77, 20.80)
(22.20, -8.67, 18.89)
(22.94, -9.57, 16.88)
(23.68, -10.48, 14.78)
(24.41, -11.38, 12.58)
(25.15, -12.29, 10.27)
(25.89, -13.19, 7.87)
(26.63, -14.09, 5.38)
(27.37, -15.00, 2.78)
(28.11, -15.90, 0.09)
(28.85, -16.80, -2.70)

153km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.48, 16.63, 35.32)
(2.22, 15.73, 36.05)
(2.95, 14.82, 36.69)
(3.69, 13.92, 37.23)
(4.43, 13.02, 37.67)
(5.17, 12.11, 38.01)
(5.91, 11.21, 38.26)
(6.65, 10.31, 38.41)
(7.39, 9.40, 38.46)
(8.13, 8.50, 38.41)
(8.86, 7.59, 38.26)
(9.60, 6.69, 38.02)
(10.34, 5.79, 37.68)
(11.08, 4.88, 37.24)
(11.82, 3.98, 36.70)
(12.56, 3.08, 36.06)
(13.30, 2.17, 35.33)
(14.03, 1.27, 34.50)
(14.77, 0.36, 33.57)
(15.51, -0.54, 32.54)
(16.25, -1.44, 31.41)
(16.99, -2.35, 30.19)
(17.73, -3.25, 28.87)
(18.47, -4.15, 27.45)
(19.20, -5.06, 25.93)
(19.94, -5.96, 24.31)
(20.68, -6.87, 22.60)
(21.42, -7.77, 20.78)
(22.16, -8.67, 18.87)
(22.90, -9.58, 16.87)
(23.64, -10.48, 14.76)
(24.38, -11.38, 12.56)
(25.11, -12.29, 10.25)
(25.85, -13.19, 7.85)
(26.59, -14.10, 5.36)
(27.33, -15.00, 2.76)
(28.07, -15.90, 0.06)
(28.81, -16.81, -2.73)

152km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.47, 16.63, 35.31)
(2.21, 15.73, 36.05)
(2.95, 14.82, 36.69)
(3.69, 13.92, 37.23)
(4.42, 13.02, 37.67)
(5.16, 12.11, 38.01)
(5.90, 11.21, 38.26)
(6.64, 10.31, 38.40)
(7.37, 9.40, 38.45)
(8.11, 8.50, 38.40)
(8.85, 7.59, 38.26)
(9.59, 6.69, 38.01)
(10.32, 5.79, 37.67)
(11.06, 4.88, 37.23)
(11.80, 3.98, 36.69)
(12.54, 3.08, 36.05)
(13.27, 2.17, 35.32)
(14.01, 1.27, 34.49)
(14.75, 0.36, 33.55)
(15.49, -0.54, 32.53)
(16.22, -1.44, 31.40)
(16.96, -2.35, 30.17)
(17.70, -3.25, 28.85)
(18.44, -4.16, 27.43)
(19.17, -5.06, 25.91)
(19.91, -5.96, 24.30)
(20.65, -6.87, 22.58)
(21.39, -7.77, 20.77)
(22.12, -8.67, 18.86)
(22.86, -9.58, 16.85)
(23.60, -10.48, 14.74)
(24.34, -11.39, 12.54)
(25.07, -12.29, 10.23)
(25.81, -13.19, 7.83)
(26.55, -14.10, 5.33)
(27.29, -15.00, 2.74)
(28.02, -15.90, 0.04)
(28.76, -16.81, -2.75)

151km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.47, 16.63, 35.31)
(2.21, 15.73, 36.05)
(2.94, 14.82, 36.68)
(3.68, 13.92, 37.22)
(4.42, 13.02, 37.66)
(5.15, 12.11, 38.01)
(5.89, 11.21, 38.25)
(6.63, 10.31, 38.40)
(7.36, 9.40, 38.45)
(8.10, 8.50, 38.40)
(8.83, 7.59, 38.25)
(9.57, 6.69, 38.00)
(10.31, 5.79, 37.66)
(11.04, 4.88, 37.22)
(11.78, 3.98, 36.68)
(12.52, 3.07, 36.04)
(13.25, 2.17, 35.31)
(13.99, 1.27, 34.47)
(14.72, 0.36, 33.54)
(15.46, -0.54, 32.51)
(16.20, -1.44, 31.39)
(16.93, -2.35, 30.16)
(17.67, -3.25, 28.84)
(18.41, -4.16, 27.42)
(19.14, -5.06, 25.90)
(19.88, -5.96, 24.28)
(20.61, -6.87, 22.56)
(21.35, -7.77, 20.75)
(22.09, -8.68, 18.84)
(22.82, -9.58, 16.83)
(23.56, -10.48, 14.72)
(24.30, -11.39, 12.52)
(25.03, -12.29, 10.21)
(25.77, -13.20, 7.81)
(26.50, -14.10, 5.31)
(27.24, -15.00, 2.72)
(27.98, -15.91, 0.02)
(28.71, -16.81, -2.77)

150km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.47, 16.63, 35.31)
(2.21, 15.73, 36.05)
(2.94, 14.82, 36.68)
(3.68, 13.92, 37.22)
(4.41, 13.02, 37.66)
(5.15, 12.11, 38.00)
(5.88, 11.21, 38.25)
(6.62, 10.30, 38.39)
(7.35, 9.40, 38.44)
(8.09, 8.50, 38.39)
(8.82, 7.59, 38.24)
(9.56, 6.69, 38.00)
(10.29, 5.79, 37.65)
(11.03, 4.88, 37.21)
(11.76, 3.98, 36.67)
(12.50, 3.07, 36.03)
(13.23, 2.17, 35.30)
(13.97, 1.27, 34.46)
(14.70, 0.36, 33.53)
(15.44, -0.54, 32.50)
(16.17, -1.45, 31.37)
(16.91, -2.35, 30.15)
(17.64, -3.25, 28.82)
(18.38, -4.16, 27.40)
(19.11, -5.06, 25.88)
(19.85, -5.97, 24.26)
(20.58, -6.87, 22.55)
(21.32, -7.77, 20.73)
(22.05, -8.68, 18.82)
(22.79, -9.58, 16.81)
(23.52, -10.49, 14.70)
(24.26, -11.39, 12.50)
(24.99, -12.29, 10.19)
(25.73, -13.20, 7.79)
(26.46, -14.10, 5.29)
(27.20, -15.00, 2.69)
(27.93, -15.91, -0.00)

149km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.48)
(1.47, 16.63, 35.31)
(2.20, 15.73, 36.04)
(2.94, 14.82, 36.68)
(3.67, 13.92, 37.22)
(4.40, 13.02, 37.66)
(5.14, 12.11, 38.00)
(5.87, 11.21, 38.24)
(6.60, 10.30, 38.39)
(7.34, 9.40, 38.43)
(8.07, 8.50, 38.38)
(8.81, 7.59, 38.24)
(9.54, 6.69, 37.99)
(10.27, 5.78, 37.64)
(11.01, 4.88, 37.20)
(11.74, 3.98, 36.66)
(12.47, 3.07, 36.02)
(13.21, 2.17, 35.29)
(13.94, 1.26, 34.45)
(14.68, 0.36, 33.52)
(15.41, -0.54, 32.49)
(16.14, -1.45, 31.36)
(16.88, -2.35, 30.13)
(17.61, -3.26, 28.81)
(18.34, -4.16, 27.39)
(19.08, -5.06, 25.87)
(19.81, -5.97, 24.25)
(20.55, -6.87, 22.53)
(21.28, -7.78, 20.72)
(22.01, -8.68, 18.80)
(22.75, -9.58, 16.79)
(23.48, -10.49, 14.68)
(24.21, -11.39, 12.48)
(24.95, -12.30, 10.17)
(25.68, -13.20, 7.77)
(26.42, -14.10, 5.27)
(27.15, -15.01, 2.67)
(27.88, -15.91, -0.02)

148km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.48)
(1.47, 16.63, 35.31)
(2.20, 15.73, 36.04)
(2.93, 14.82, 36.68)
(3.66, 13.92, 37.21)
(4.40, 13.02, 37.65)
(5.13, 12.11, 37.99)
(5.86, 11.21, 38.24)
(6.59, 10.30, 38.38)
(7.33, 9.40, 38.43)
(8.06, 8.50, 38.38)
(8.79, 7.59, 38.23)
(9.52, 6.69, 37.98)
(10.26, 5.78, 37.64)
(10.99, 4.88, 37.19)
(11.72, 3.98, 36.65)
(12.45, 3.07, 36.01)
(13.19, 2.17, 35.28)
(13.92, 1.26, 34.44)
(14.65, 0.36, 33.51)
(15.38, -0.54, 32.48)
(16.12, -1.45, 31.35)
(16.85, -2.35, 30.12)
(17.58, -3.26, 28.79)
(18.31, -4.16, 27.37)
(19.05, -5.06, 25.85)
(19.78, -5.97, 24.23)
(20.51, -6.87, 22.51)
(21.24, -7.78, 20.70)
(21.98, -8.68, 18.79)
(22.71, -9.59, 16.77)
(23.44, -10.49, 14.67)
(24.17, -11.39, 12.46)
(24.91, -12.30, 10.15)
(25.64, -13.20, 7.75)
(26.37, -14.11, 5.25)
(27.10, -15.01, 2.65)
(27.84, -15.91, -0.05)

147km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.48)
(1.46, 16.63, 35.31)
(2.19, 15.73, 36.04)
(2.93, 14.82, 36.68)
(3.66, 13.92, 37.21)
(4.39, 13.02, 37.65)
(5.12, 12.11, 37.99)
(5.85, 11.21, 38.23)
(6.58, 10.30, 38.38)
(7.31, 9.40, 38.42)
(8.04, 8.49, 38.37)
(8.78, 7.59, 38.22)
(9.51, 6.69, 37.97)
(10.24, 5.78, 37.63)
(10.97, 4.88, 37.18)
(11.70, 3.97, 36.64)
(12.43, 3.07, 36.00)
(13.16, 2.17, 35.26)
(13.89, 1.26, 34.43)
(14.63, 0.36, 33.50)
(15.36, -0.55, 32.46)
(16.09, -1.45, 31.33)
(16.82, -2.35, 30.11)
(17.55, -3.26, 28.78)
(18.28, -4.16, 27.36)
(19.01, -5.07, 25.83)
(19.74, -5.97, 24.21)
(20.48, -6.87, 22.50)
(21.21, -7.78, 20.68)
(21.94, -8.68, 18.77)
(22.67, -9.59, 16.76)
(23.40, -10.49, 14.65)
(24.13, -11.40, 12.44)
(24.86, -12.30, 10.13)
(25.60, -13.20, 7.73)
(26.33, -14.11, 5.23)
(27.06, -15.01, 2.63)
(27.79, -15.92, -0.07)

146km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.48)
(1.46, 16.63, 35.31)
(2.19, 15.73, 36.04)
(2.92, 14.82, 36.67)
(3.65, 13.92, 37.21)
(4.38, 13.02, 37.65)
(5.11, 12.11, 37.99)
(5.84, 11.21, 38.23)
(6.57, 10.30, 38.37)
(7.30, 9.40, 38.42)
(8.03, 8.49, 38.36)
(8.76, 7.59, 38.21)
(9.49, 6.69, 37.97)
(10.22, 5.78, 37.62)
(10.95, 4.88, 37.17)
(11.68, 3.97, 36.63)
(12.41, 3.07, 35.99)
(13.14, 2.17, 35.25)
(13.87, 1.26, 34.42)
(14.60, 0.36, 33.48)
(15.33, -0.55, 32.45)
(16.06, -1.45, 31.32)
(16.79, -2.36, 30.09)
(17.52, -3.26, 28.77)
(18.25, -4.16, 27.34)
(18.98, -5.07, 25.82)
(19.71, -5.97, 24.20)
(20.44, -6.88, 22.48)
(21.17, -7.78, 20.66)
(21.90, -8.68, 18.75)
(22.63, -9.59, 16.74)
(23.36, -10.49, 14.63)
(24.09, -11.40, 12.42)
(24.82, -12.30, 10.11)
(25.55, -13.21, 7.71)
(26.28, -14.11, 5.21)
(27.01, -15.01, 2.60)
(27.74, -15.92, -0.09)

145km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.48)
(1.46, 16.63, 35.31)
(2.19, 15.73, 36.04)
(2.92, 14.82, 36.67)
(3.64, 13.92, 37.21)
(4.37, 13.01, 37.64)
(5.10, 12.11, 37.98)
(5.83, 11.21, 38.22)
(6.56, 10.30, 38.37)
(7.29, 9.40, 38.41)
(8.02, 8.49, 38.36)
(8.75, 7.59, 38.21)
(9.47, 6.69, 37.96)
(10.20, 5.78, 37.61)
(10.93, 4.88, 37.17)
(11.66, 3.97, 36.62)
(12.39, 3.07, 35.98)
(13.12, 2.16, 35.24)
(13.85, 1.26, 34.41)
(14.58, 0.36, 33.47)
(15.30, -0.55, 32.44)
(16.03, -1.45, 31.31)
(16.76, -2.36, 30.08)
(17.49, -3.26, 28.75)
(18.22, -4.17, 27.33)
(18.95, -5.07, 25.80)
(19.68, -5.97, 24.18)
(20.41, -6.88, 22.46)
(21.13, -7.78, 20.65)
(21.86, -8.69, 18.73)
(22.59, -9.59, 16.72)
(23.32, -10.49, 14.61)
(24.05, -11.40, 12.40)
(24.78, -12.30, 10.09)
(25.51, -13.21, 7.69)
(26.24, -14.11, 5.18)
(26.96, -15.02, 2.58)
(27.69, -15.92, -0.12)

5. 속도 비율 x 방향 0.04, y 방향 0.89, z 방향 0.07 최종 속력
145km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.48, 16.63, 35.31)
(2.22, 15.73, 36.04)
(2.96, 14.83, 36.67)
(3.70, 13.93, 37.20)
(4.44, 13.02, 37.64)
(5.18, 12.12, 37.98)
(5.92, 11.22, 38.22)
(6.66, 10.32, 38.36)
(7.39, 9.41, 38.41)
(8.13, 8.51, 38.35)
(8.87, 7.61, 38.20)
(9.61, 6.70, 37.95)
(10.35, 5.80, 37.60)
(11.09, 4.90, 37.16)
(11.83, 4.00, 36.61)
(12.57, 3.09, 35.97)
(13.31, 2.19, 35.23)
(14.05, 1.29, 34.40)
(14.79, 0.38, 33.46)
(15.53, -0.52, 32.43)
(16.27, -1.42, 31.30)
(17.01, -2.32, 30.07)
(17.75, -3.23, 28.74)
(18.49, -4.13, 27.31)
(19.23, -5.03, 25.79)
(19.97, -5.93, 24.17)
(20.71, -6.84, 22.45)
(21.44, -7.74, 20.63)
(22.18, -8.64, 18.72)
(22.92, -9.55, 16.70)
(23.66, -10.45, 14.59)
(24.40, -11.35, 12.38)
(25.14, -12.25, 10.07)
(25.88, -13.16, 7.67)
(26.62, -14.06, 5.17)
(27.36, -14.96, 2.56)
(28.10, -15.87, -0.14)

144km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.48, 16.63, 35.30)
(2.21, 15.73, 36.03)
(2.95, 14.83, 36.67)
(3.69, 13.93, 37.20)
(4.43, 13.02, 37.64)
(5.17, 12.12, 37.97)
(5.91, 11.22, 38.21)
(6.64, 10.31, 38.36)
(7.38, 9.41, 38.40)
(8.12, 8.51, 38.35)
(8.86, 7.61, 38.19)
(9.60, 6.70, 37.94)
(10.33, 5.80, 37.59)
(11.07, 4.90, 37.15)
(11.81, 3.99, 36.60)
(12.55, 3.09, 35.96)
(13.29, 2.19, 35.22)
(14.02, 1.29, 34.38)
(14.76, 0.38, 33.45)
(15.50, -0.52, 32.41)
(16.24, -1.42, 31.28)
(16.98, -2.33, 30.05)
